source_group,listing_url,product_url,product_title,brand_guess,species,format,source_tier,source_type,market,status,notes
royal_canin_gr_dog_dry_retail,https://www.royalcanin.com/gr/dogs/products/retail-products?digital_sub_category=dry_food,https://www.royalcanin.com/gr/dogs/products/retail-products/schnauzer-puppy-4131,Royal Canin Schnauzer Puppy,Royal Canin,dog,dry,official,official_product_page,GR,candidate,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Miniature Schnauzer; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal_canin_gr_dog_dry_retail,https://www.royalcanin.com/gr/dogs/products/retail-products?digital_sub_category=dry_food,https://www.royalcanin.com/gr/dogs/products/retail-products/pug-puppy-4130,Royal Canin Pug Puppy,Royal Canin,dog,dry,official,official_product_page,GR,candidate,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Pug; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal_canin_gr_dog_dry_retail,https://www.royalcanin.com/gr/dogs/products/retail-products?digital_sub_category=dry_food,https://www.royalcanin.com/gr/dogs/products/retail-products/poodle-puppy-3080,Royal Canin Poodle Puppy,Royal Canin,dog,dry,official,official_product_page,GR,candidate,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Poodle; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal_canin_gr_dog_dry_retail,https://www.royalcanin.com/gr/dogs/products/retail-products?digital_sub_category=dry_food,https://www.royalcanin.com/gr/dogs/products/retail-products/german-shepherd-puppy-2519,Royal Canin German Shepherd Puppy,Royal Canin,dog,dry,official,official_product_page,GR,candidate,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=German Shepherd Dog; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal_canin_gr_dog_dry_retail,https://www.royalcanin.com/gr/dogs/products/retail-products?digital_sub_category=dry_food,https://www.royalcanin.com/gr/dogs/products/retail-products/chihuahua-puppy-2438,Royal Canin Chihuahua Puppy,Royal Canin,dog,dry,official,official_product_page,GR,candidate,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Chihuahua; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal_canin_gr_dog_dry_retail,https://www.royalcanin.com/gr/dogs/products/retail-products?digital_sub_category=dry_food,https://www.royalcanin.com/gr/dogs/products/retail-products/bulldog-puppy-3967,Royal Canin Bulldog Puppy,Royal Canin,dog,dry,official,official_product_page,GR,candidate,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Bulldog; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal_canin_gr_dog_dry_retail,https://www.royalcanin.com/gr/dogs/products/retail-products?digital_sub_category=dry_food,https://www.royalcanin.com/gr/dogs/products/retail-products/boxer-puppy-3966,Royal Canin Boxer Puppy,Royal Canin,dog,dry,official,official_product_page,GR,candidate,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Boxer; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal_canin_gr_dog_dry_retail,https://www.royalcanin.com/gr/dogs/products/retail-products?digital_sub_category=dry_food,https://www.royalcanin.com/gr/dogs/products/retail-products/cavalier-king-charles-puppy-4132,Royal Canin Cavalier King Charles Puppy,Royal Canin,dog,dry,official,official_product_page,GR,candidate,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Cavalier King Charles Spaniel; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal_canin_gr_dog_dry_retail,https://www.royalcanin.com/gr/dogs/products/retail-products?digital_sub_category=dry_food,https://www.royalcanin.com/gr/dogs/products/retail-products/west-highland-white-terrier-adult-3981,Royal Canin West Highland White Terrier Adult,Royal Canin,dog,dry,official,official_product_page,GR,candidate,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=West Highland White Terrier; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal_canin_gr_dog_dry_retail,https://www.royalcanin.com/gr/dogs/products/retail-products?digital_sub_category=dry_food,https://www.royalcanin.com/gr/dogs/products/retail-products/labrador-retriever-sterilised-3996,Royal Canin Labrador Retriever Sterilised,Royal Canin,dog,dry,official,official_product_page,GR,candidate,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Labrador Retriever; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
