source_group,listing_url,product_url,product_title,brand_guess,species,format,source_tier,source_type,market,status,product_scope,notes
kompa distributor,https://kompa.gr/en/category/dog/dry-food-dog/,https://kompa.gr/en/product/acana-adult-small-breed/,ADULT SMALL BREED,ACANA,dog,dry,distributor,distributor_listing_page,EU,ready_for_manual_food_match,complete_food_candidate,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
kompa distributor,https://kompa.gr/en/category/dog/dry-food-dog/,https://kompa.gr/en/product/acana-classic-red-classics/,RED MEAT,ACANA,dog,dry,distributor,distributor_listing_page,EU,ready_for_manual_food_match,complete_food_candidate,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
kompa distributor,https://kompa.gr/en/category/dog/dry-food-dog/,https://kompa.gr/en/product/acana-grass-fed-lamb-singles/,GRASS-FED LAMB,ACANA,dog,dry,distributor,distributor_listing_page,EU,ready_for_manual_food_match,complete_food_candidate,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
kompa distributor,https://kompa.gr/en/category/dog/dry-food-dog/,https://kompa.gr/en/product/acana-grasslands-regionals/,GRASSLANDS,ACANA,dog,dry,distributor,distributor_listing_page,EU,ready_for_manual_food_match,complete_food_candidate,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
kompa distributor,https://kompa.gr/en/category/dog/dry-food-dog/,https://kompa.gr/en/product/acana-heritage-puppy-junior/,PUPPY,ACANA,dog,dry,distributor,distributor_listing_page,EU,ready_for_manual_food_match,complete_food_candidate,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
kompa distributor,https://kompa.gr/en/category/dog/dry-food-dog/,https://kompa.gr/en/product/acana-light-fit/,LIGHT & FIT,ACANA,dog,dry,distributor,distributor_listing_page,EU,ready_for_manual_food_match,complete_food_candidate,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
kompa distributor,https://kompa.gr/en/category/dog/dry-food-dog/,https://kompa.gr/en/product/acana-pacifica-regionals/,PACIFICA,ACANA,dog,dry,distributor,distributor_listing_page,EU,ready_for_manual_food_match,complete_food_candidate,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
kompa distributor,https://kompa.gr/en/category/dog/dry-food-dog/,https://kompa.gr/en/product/acana-prairie-poultry-classics/,PRAIRIE POULTRY,ACANA,dog,dry,distributor,distributor_listing_page,EU,ready_for_manual_food_match,complete_food_candidate,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
kompa distributor,https://kompa.gr/en/category/dog/dry-food-dog/,https://kompa.gr/en/product/acana-puppy-large-breed/,PUPPY LARGE BREED,ACANA,dog,dry,distributor,distributor_listing_page,EU,ready_for_manual_food_match,complete_food_candidate,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
kompa distributor,https://kompa.gr/en/category/dog/dry-food-dog/,https://kompa.gr/en/product/acana-puppy-small-breed/,PUPPY SMALL BREED,ACANA,dog,dry,distributor,distributor_listing_page,EU,ready_for_manual_food_match,complete_food_candidate,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
