formula_key,brand,formula_name,species,status,source_url,extracted_fields,missing_fields,notes
royal-canin-rottweiler-adult-dog-dry-gr-official,Royal Canin,Rottweiler Adult,dog,candidate,https://www.royalcanin.com/gr/dogs/products/retail-products/rottweiler-adult-3971,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent,,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Rottweiler; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal-canin-chihuahua-adult-dog-dry-gr-official,Royal Canin,Chihuahua Adult,dog,candidate,https://www.royalcanin.com/gr/dogs/products/retail-products/chihuahua-adult-2210,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent,,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Chihuahua; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal-canin-yorkshire-terrier-puppy-dog-dry-gr-official,Royal Canin,Yorkshire Terrier Puppy,dog,candidate,https://www.royalcanin.com/gr/dogs/products/retail-products/yorkshire-terrier-puppy-3972,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent,,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Yorkshire Terrier; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal-canin-schnauzer-puppy-dog-dry-gr-official,Royal Canin,Schnauzer Puppy,dog,candidate,https://www.royalcanin.com/gr/dogs/products/retail-products/schnauzer-puppy-4131,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent,,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Miniature Schnauzer; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal-canin-pug-puppy-dog-dry-gr-official,Royal Canin,Pug Puppy,dog,candidate,https://www.royalcanin.com/gr/dogs/products/retail-products/pug-puppy-4130,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent,,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Pug; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal-canin-poodle-puppy-dog-dry-gr-official,Royal Canin,Poodle Puppy,dog,candidate,https://www.royalcanin.com/gr/dogs/products/retail-products/poodle-puppy-3080,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent,,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Poodle; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal-canin-german-shepherd-puppy-dog-dry-gr-official,Royal Canin,German Shepherd Puppy,dog,candidate,https://www.royalcanin.com/gr/dogs/products/retail-products/german-shepherd-puppy-2519,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent,,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=German Shepherd Dog; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal-canin-chihuahua-puppy-dog-dry-gr-official,Royal Canin,Chihuahua Puppy,dog,candidate,https://www.royalcanin.com/gr/dogs/products/retail-products/chihuahua-puppy-2438,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent,,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Chihuahua; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal-canin-bulldog-puppy-dog-dry-gr-official,Royal Canin,Bulldog Puppy,dog,candidate,https://www.royalcanin.com/gr/dogs/products/retail-products/bulldog-puppy-3967,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent,,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Bulldog; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal-canin-boxer-puppy-dog-dry-gr-official,Royal Canin,Boxer Puppy,dog,candidate,https://www.royalcanin.com/gr/dogs/products/retail-products/boxer-puppy-3966,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent,,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Boxer; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
