canonical_identity_key,row_count,candidate_count,hold_count,risk_level,risk_reason,recommended_action,best_formula_key,best_display_name,source_priorities,kcal_range,protein_range,fat_range,fiber_range,ash_range,formula_keys
royal canin|puppy xsmall|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,royal-canin-royal-canin-puppy-xsmall-dog-dry-gr-spreadsheet,Royal Canin Puppy XSmall,unknown,,,,,,royal-canin-royal-canin-puppy-xsmall-dog-dry-gr-spreadsheet
royal canin|starter mini|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,royal-canin-royal-canin-starter-mini-dog-dry-gr-spreadsheet,Royal Canin Starter Mini,unknown,,,,,,royal-canin-royal-canin-starter-mini-dog-dry-gr-spreadsheet
sam s field|adult grain free chicken|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,sam-s-field-sam-s-field-adult-grain-free-με-κοτοπουλο-dog-dry-gr-spreadsheet,Sam's Field Adult Grain Free με Κοτόπουλο,unknown,,,,,,sam-s-field-sam-s-field-adult-grain-free-με-κοτοπουλο-dog-dry-gr-spreadsheet|sam-s-field-sam-s-field-adult-grain-free-chicken-dog-dry-gr-spreadsheet
sam s field|adult grain free salmon and ρεγγα|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,sam-s-field-sam-s-field-adult-grain-free-με-σολομο-ρεγγα-dog-dry-gr-spreadsheet,Sam's Field Adult Grain Free με Σολομό & Ρέγγα,unknown,,,,,,sam-s-field-sam-s-field-adult-grain-free-με-σολομο-ρεγγα-dog-dry-gr-spreadsheet|sam-s-field-sam-s-field-adult-grain-free-salmon-dog-dry-gr-spreadsheet
sam s field|adult medium chicken|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,sam-s-field-sam-s-field-adult-medium-με-κοτοπουλο-dog-dry-gr-spreadsheet,Sam's Field Adult Medium με Κοτόπουλο,unknown,,,,,,sam-s-field-sam-s-field-adult-medium-με-κοτοπουλο-dog-dry-gr-spreadsheet|sam-s-field-sam-s-field-adult-medium-chicken-dog-dry-gr-spreadsheet
sam s field|adult medium salmon and πατατα|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,sam-s-field-sam-s-field-adult-medium-salmon-potato-dog-dry-gr-spreadsheet,Sam's Field Adult Medium με Σολομό & Πατάτα,unknown,,,,,,sam-s-field-sam-s-field-adult-medium-salmon-potato-dog-dry-gr-spreadsheet|sam-s-field-sam-s-field-adult-medium-με-σολομο-πατατα-dog-dry-gr-spreadsheet
sam s field|large adult chicken|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,sam-s-field-sam-s-field-large-adult-chicken-dog-dry-gr-spreadsheet,Sam's Field Large Adult με Κοτόπουλο,unknown,,,,,,sam-s-field-sam-s-field-large-adult-chicken-dog-dry-gr-spreadsheet|sam-s-field-sam-s-field-large-adult-με-κοτοπουλο-dog-dry-gr-spreadsheet
sam s field|light and senior dog lamb and rice|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,sam-s-field-sam-s-field-light-senior-dog-lamb-rice-dog-dry-gr-spreadsheet,Sam's Field Light & Senior Dog με Αρνί & Ρύζι,unknown,,,,,,sam-s-field-sam-s-field-light-senior-dog-lamb-rice-dog-dry-gr-spreadsheet|sam-s-field-sam-s-field-light-senior-dog-με-αρνι-ρυζι-dog-dry-gr-spreadsheet
schesir|adult cat κομματακια σε ζελε tuna chicken and shrimp|cat|wet,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,schesir-schesir-adult-cat-κομματακια-σε-ζελε-με-τονο-κοτοπουλο-γαριδα-cat-wet-gr-ods,Schesir Adult Cat Κομματάκια σε Ζελέ με Τόνο Κοτόπουλο & Γαρίδα,unknown,,,,,,schesir-schesir-adult-cat-κομματακια-σε-ζελε-με-τονο-κοτοπουλο-γαριδα-cat-wet-gr-ods|schesir-schesir-adult-cat-jelly-tuna-chicken-cat-wet-gr-spreadsheet
schesir|adult cat lamb|cat|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,schesir-schesir-adult-cat-με-αρνι-cat-dry-gr-ods,Schesir Adult Cat με Αρνί,unknown,,,,,,schesir-schesir-adult-cat-με-αρνι-cat-dry-gr-ods|schesir-schesir-adult-cat-lamb-cat-dry-gr-spreadsheet
schesir|adult cat chicken|cat|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,schesir-schesir-adult-cat-με-κοτοπουλο-cat-dry-gr-ods,Schesir Adult Cat με Κοτόπουλο,unknown,,,,,,schesir-schesir-adult-cat-με-κοτοπουλο-cat-dry-gr-ods|schesir-schesir-adult-cat-chicken-cat-dry-gr-spreadsheet
schesir|adult cat chicken and σουριμι σε ζελε|cat|wet,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,schesir-schesir-adult-cat-με-κοτοπουλο-σουριμι-σε-ζελε-cat-wet-gr-ods,Schesir Adult Cat με Κοτόπουλο & Σουρίμι σε Ζελέ,unknown,,,,,,schesir-schesir-adult-cat-με-κοτοπουλο-σουριμι-σε-ζελε-cat-wet-gr-ods|schesir-schesir-adult-cat-chicken-jelly-cat-wet-gr-spreadsheet
schesir|adult cat chicken and τσιπουρα σε ζωμο|cat|wet,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,schesir-schesir-adult-cat-με-κοτοπουλο-τσιπουρα-σε-ζωμο-cat-wet-gr-ods,Schesir Adult Cat με Κοτόπουλο & Τσιπούρα σε Ζωμό,unknown,,,,,,schesir-schesir-adult-cat-με-κοτοπουλο-τσιπουρα-σε-ζωμο-cat-wet-gr-ods|schesir-schesir-adult-cat-chicken-cat-wet-gr-spreadsheet
schesir|adult cat ham|cat|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,schesir-schesir-adult-cat-με-προσουτο-cat-dry-gr-ods,Schesir Adult Cat με Προσούτο,unknown,,,,,,schesir-schesir-adult-cat-με-προσουτο-cat-dry-gr-ods|schesir-schesir-adult-cat-ham-cat-dry-gr-spreadsheet
schesir|adult cat tuna and αθερινα σε ζωμο|cat|wet,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,schesir-schesir-adult-cat-με-τονο-αθερινα-σε-ζωμο-cat-wet-gr-ods,Schesir Adult Cat με Τόνο & Αθερίνα σε Ζωμό,unknown,,,,,,schesir-schesir-adult-cat-με-τονο-αθερινα-σε-ζωμο-cat-wet-gr-ods|schesir-schesir-adult-cat-tuna-cat-wet-gr-spreadsheet
schesir|adult cat tuna and chicken σε ζωμο|cat|wet,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,schesir-schesir-adult-cat-με-τονο-κοτοπουλο-σε-ζωμο-cat-wet-gr-ods,Schesir Adult Cat με Τόνο & Κοτόπουλο σε Ζωμό,unknown,,,,,,schesir-schesir-adult-cat-με-τονο-κοτοπουλο-σε-ζωμο-cat-wet-gr-ods|schesir-schesir-adult-cat-tuna-chicken-cat-wet-gr-spreadsheet
schesir|adult cat tuna and fish α ωκεανου σε ζωμο|cat|wet,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,schesir-schesir-adult-cat-με-τονο-ψαρια-ωκεανου-σε-ζωμο-cat-wet-gr-ods,Schesir Adult Cat με Τόνο & Ψάρια Ωκεανού σε Ζωμό,unknown,,,,,,schesir-schesir-adult-cat-με-τονο-ψαρια-ωκεανου-σε-ζωμο-cat-wet-gr-ods|schesir-schesir-adult-cat-tuna-fish-cat-wet-gr-spreadsheet
schesir|adult cat tuna and αλγη σε ζελε|cat|wet,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,schesir-schesir-adult-cat-με-τονος-αλγη-σε-ζελε-cat-wet-gr-ods,Schesir Adult Cat με Τόνος & Άλγη σε Ζελέ,unknown,,,,,,schesir-schesir-adult-cat-με-τονος-αλγη-σε-ζελε-cat-wet-gr-ods|schesir-schesir-adult-cat-tuna-jelly-cat-wet-gr-spreadsheet
schesir|adult cat tuna and αλοη σε ζελε|cat|wet,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,schesir-schesir-adult-cat-με-τονος-αλοη-σε-ζελε-cat-wet-gr-ods,Schesir Adult Cat με Τόνος & Αλόη σε Ζελέ,unknown,,,,,,schesir-schesir-adult-cat-με-τονος-αλοη-σε-ζελε-cat-wet-gr-ods|schesir-schesir-adult-cat-tuna-aloe-jelly-cat-wet-gr-spreadsheet
schesir|adult cat tuna and chicken σε ζελε|cat|wet,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,schesir-schesir-adult-cat-με-τονος-κοτοπουλο-σε-ζελε-cat-wet-gr-ods,Schesir Adult Cat με Τόνος & Κοτόπουλο σε Ζελέ,unknown,,,,,,schesir-schesir-adult-cat-με-τονος-κοτοπουλο-σε-ζελε-cat-wet-gr-ods|schesir-schesir-adult-cat-tuna-chicken-jelly-cat-wet-gr-spreadsheet
schesir|adult cat tuna and beef σε ζελε|cat|wet,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,schesir-schesir-adult-cat-με-τονος-μοσχαρι-σε-ζελε-cat-wet-gr-ods,Schesir Adult Cat με Τόνος & Μοσχάρι σε Ζελέ,unknown,,,,,,schesir-schesir-adult-cat-με-τονος-μοσχαρι-σε-ζελε-cat-wet-gr-ods|schesir-schesir-adult-cat-tuna-beef-jelly-cat-wet-gr-spreadsheet
schesir|adult cat fish|cat|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,schesir-schesir-adult-cat-με-ψαρι-cat-dry-gr-ods,Schesir Adult Cat με Ψάρι,unknown,,,,,,schesir-schesir-adult-cat-με-ψαρι-cat-dry-gr-ods|schesir-schesir-adult-cat-fish-cat-dry-gr-spreadsheet
schesir|adult cat σε ζελε tuna and ζαμπον|cat|wet,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,schesir-schesir-adult-cat-σε-ζελε-με-τονο-ζαμπον-cat-wet-gr-ods,Schesir Adult Cat σε Ζελέ με Τόνο & Ζαμπόν,unknown,,,,,,schesir-schesir-adult-cat-σε-ζελε-με-τονο-ζαμπον-cat-wet-gr-ods|schesir-schesir-adult-cat-jelly-tuna-ham-cat-wet-gr-spreadsheet
schesir|adult cat σε ζελε tuna and salmon|cat|wet,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,schesir-schesir-adult-cat-σε-ζελε-με-τονο-σολομο-cat-wet-gr-ods,Schesir Adult Cat σε Ζελέ με Τόνο & Σολομό,unknown,,,,,,schesir-schesir-adult-cat-σε-ζελε-με-τονο-σολομο-cat-wet-gr-ods|schesir-schesir-adult-cat-jelly-tuna-salmon-cat-wet-gr-spreadsheet
schesir|adult cat σε ζελε tuna and συναγριδα|cat|wet,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,schesir-schesir-adult-cat-σε-ζελε-με-τονο-συναγριδα-cat-wet-gr-ods,Schesir Adult Cat σε Ζελέ με Τόνο & Συναγρίδα,unknown,,,,,,schesir-schesir-adult-cat-σε-ζελε-με-τονο-συναγριδα-cat-wet-gr-ods|schesir-schesir-adult-cat-jelly-tuna-cat-wet-gr-spreadsheet
schesir|adult cat σε ζωμο chicken beef and rice|cat|wet,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,schesir-schesir-adult-cat-σε-ζωμο-με-κοτοπουλο-μοσχαρι-ρυζι-cat-wet-gr-ods,Schesir Adult Cat σε Ζωμό με Κοτόπουλο Μοσχάρι & Ρύζι,unknown,,,,,,schesir-schesir-adult-cat-σε-ζωμο-με-κοτοπουλο-μοσχαρι-ρυζι-cat-wet-gr-ods|schesir-schesir-adult-cat-chicken-beef-rice-cat-wet-gr-spreadsheet
schesir|adult cat σε ζωμο φυσικο chicken and rice|cat|wet,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,schesir-schesir-adult-cat-σε-ζωμο-με-φυσικο-κοτοπουλο-ρυζι-cat-wet-gr-ods,Schesir Adult Cat σε Ζωμό με φυσικό Κοτόπουλο & Ρύζι,unknown,,,,,,schesir-schesir-adult-cat-σε-ζωμο-με-φυσικο-κοτοπουλο-ρυζι-cat-wet-gr-ods|schesir-schesir-adult-cat-chicken-rice-cat-wet-gr-spreadsheet
schesir|adult cat σε ζωμο φυσικο salmon|cat|wet,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,schesir-schesir-adult-cat-σε-ζωμο-με-φυσικο-σολομο-cat-wet-gr-ods,Schesir Adult Cat σε Ζωμό με φυσικό Σολομό,unknown,,,,,,schesir-schesir-adult-cat-σε-ζωμο-με-φυσικο-σολομο-cat-wet-gr-ods|schesir-schesir-adult-cat-salmon-cat-wet-gr-spreadsheet
schesir|adult cat σε ζωμο φυσικο tuna αθερινα and rice|cat|wet,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,schesir-schesir-adult-cat-σε-ζωμο-με-φυσικο-τονο-αθερινα-ρυζι-cat-wet-gr-ods,Schesir Adult Cat σε Ζωμό με φυσικό Τόνο Αθερινα & Ρύζι,unknown,,,,,,schesir-schesir-adult-cat-σε-ζωμο-με-φυσικο-τονο-αθερινα-ρυζι-cat-wet-gr-ods|schesir-schesir-adult-cat-tuna-rice-cat-wet-gr-spreadsheet
schesir|adult cat σε ζωμο φυσικο tuna chicken and rice|cat|wet,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,schesir-schesir-adult-cat-σε-ζωμο-με-φυσικο-τονο-κοτοπουλο-ρυζι-cat-wet-gr-ods,Schesir Adult Cat σε Ζωμό με φυσικό Τόνο Κοτόπουλο & Ρύζι,unknown,,,,,,schesir-schesir-adult-cat-σε-ζωμο-με-φυσικο-τονο-κοτοπουλο-ρυζι-cat-wet-gr-ods|schesir-schesir-adult-cat-tuna-chicken-rice-cat-wet-gr-spreadsheet
schesir|adult cat σε ζωμο φυσικο tuna beef and rice|cat|wet,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,schesir-schesir-adult-cat-σε-ζωμο-με-φυσικο-τονο-μοσχαρι-ρυζι-cat-wet-gr-ods,Schesir Adult Cat σε Ζωμό με φυσικό Τόνο Μοσχάρι & Ρύζι,unknown,,,,,,schesir-schesir-adult-cat-σε-ζωμο-με-φυσικο-τονο-μοσχαρι-ρυζι-cat-wet-gr-ods|schesir-schesir-adult-cat-tuna-beef-rice-cat-wet-gr-spreadsheet
schesir|adult cat φιλετακια σε ζελε chicken|cat|wet,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,schesir-schesir-adult-cat-φιλετακια-σε-ζελε-με-κοτοπουλο-cat-wet-gr-ods,Schesir Adult Cat Φιλετάκια σε Ζελέ με Κοτόπουλο,unknown,,,,,,schesir-schesir-adult-cat-φιλετακια-σε-ζελε-με-κοτοπουλο-cat-wet-gr-ods|schesir-schesir-adult-cat-jelly-chicken-cat-wet-gr-spreadsheet
schesir|adult cat φιλετακια σε ζελε chicken and ζαμπον|cat|wet,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,schesir-schesir-adult-cat-φιλετακια-σε-ζελε-με-κοτοπουλο-ζαμπον-cat-wet-gr-ods,Schesir Adult Cat Φιλετάκια σε Ζελέ με Κοτόπουλο & Ζαμπόν,unknown,,,,,,schesir-schesir-adult-cat-φιλετακια-σε-ζελε-με-κοτοπουλο-ζαμπον-cat-wet-gr-ods|schesir-schesir-adult-cat-jelly-chicken-ham-cat-wet-gr-spreadsheet
schesir|adult cat φιλετακια σε φυσικο νερο tuna and beef|cat|wet,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,schesir-schesir-adult-cat-φιλετακια-σε-φυσικο-νερο-με-τονο-βοδινο-cat-wet-gr-ods,Schesir Adult Cat Φιλετάκια σε φυσικό νερό με Τόνο & Βοδινό,unknown,,,,,,schesir-schesir-adult-cat-φιλετακια-σε-φυσικο-νερο-με-τονο-βοδινο-cat-wet-gr-ods|schesir-schesir-adult-cat-tuna-beef-cat-wet-gr-spreadsheet
schesir|adult cat φιλετακια σε φυσικο νερο tuna and ζαμπον|cat|wet,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,schesir-schesir-adult-cat-φιλετακια-σε-φυσικο-νερο-με-τονο-ζαμπον-cat-wet-gr-ods,Schesir Adult Cat Φιλετάκια σε φυσικό νερό με Τόνο & Ζαμπόν,unknown,,,,,,schesir-schesir-adult-cat-φιλετακια-σε-φυσικο-νερο-με-τονο-ζαμπον-cat-wet-gr-ods|schesir-schesir-adult-cat-tuna-ham-cat-wet-gr-spreadsheet
schesir|adult dog chicken and αλοη σε ζελε|dog|wet,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,schesir-schesir-adult-dog-με-κοτοπουλο-αλοη-σε-ζελε-dog-wet-gr-ods,Schesir Adult Dog με Κοτόπουλο & Αλόη σε Ζελέ,unknown,,,,,,schesir-schesir-adult-dog-με-κοτοπουλο-αλοη-σε-ζελε-dog-wet-gr-ods|schesir-schesir-adult-dog-chicken-aloe-jelly-dog-wet-gr-spreadsheet
schesir|adult dog chicken and καροτα|dog|wet,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,schesir-schesir-adult-dog-με-κοτοπουλο-καροτα-dog-wet-gr-ods,Schesir Adult Dog με Κοτόπουλο & Καρότα,unknown,,,,,,schesir-schesir-adult-dog-με-κοτοπουλο-καροτα-dog-wet-gr-ods|schesir-schesir-adult-dog-chicken-dog-wet-gr-spreadsheet
schesir|adult dog tuna and καροτα|dog|wet,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,schesir-schesir-adult-dog-με-τονο-καροτα-dog-wet-gr-ods,Schesir Adult Dog με Τόνο & Καρότα,unknown,,,,,,schesir-schesir-adult-dog-με-τονο-καροτα-dog-wet-gr-ods|schesir-schesir-adult-dog-tuna-dog-wet-gr-spreadsheet
schesir|adult dog tuna σε ζελε|dog|wet,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,schesir-schesir-adult-dog-με-τονο-σε-ζελε-dog-wet-gr-ods,Schesir Adult Dog με Τόνο σε Ζελέ,unknown,,,,,,schesir-schesir-adult-dog-με-τονο-σε-ζελε-dog-wet-gr-ods|schesir-schesir-adult-dog-tuna-jelly-dog-wet-gr-spreadsheet
schesir|adult dog φιλετο chicken and beef σε ζελε|dog|wet,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,schesir-schesir-adult-dog-με-φιλετο-κοτοπουλο-μοσχαρι-σε-ζελε-dog-wet-gr-ods,Schesir Adult Dog με φιλέτο Κοτόπουλο & Μοσχάρι σε Ζελέ,unknown,,,,,,schesir-schesir-adult-dog-με-φιλετο-κοτοπουλο-μοσχαρι-σε-ζελε-dog-wet-gr-ods|schesir-schesir-adult-dog-fillet-chicken-beef-jelly-dog-wet-gr-spreadsheet
schesir|adult dog φιλετο chicken and ham σε ζελε|dog|wet,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,schesir-schesir-adult-dog-με-φιλετο-κοτοπουλο-προσουτο-σε-ζελε-dog-wet-gr-ods,Schesir Adult Dog με φιλέτο Κοτόπουλο & Προσούτο σε Ζελέ,unknown,,,,,,schesir-schesir-adult-dog-με-φιλετο-κοτοπουλο-προσουτο-σε-ζελε-dog-wet-gr-ods|schesir-schesir-adult-dog-fillet-chicken-ham-jelly-dog-wet-gr-spreadsheet
schesir|adult dog φιλετο chicken σε ζελε|dog|wet,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,schesir-schesir-adult-dog-με-φιλετο-κοτοπουλο-σε-ζελε-dog-wet-gr-ods,Schesir Adult Dog με φιλέτο Κοτόπουλο σε Ζελέ,unknown,,,,,,schesir-schesir-adult-dog-με-φιλετο-κοτοπουλο-σε-ζελε-dog-wet-gr-ods|schesir-schesir-adult-dog-fillet-chicken-jelly-dog-wet-gr-spreadsheet
schesir|adult large chicken|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,schesir-schesir-adult-large-με-κοτοπουλο-dog-dry-gr-ods,Schesir Adult Large με Κοτόπουλο,unknown,,,,,,schesir-schesir-adult-large-με-κοτοπουλο-dog-dry-gr-ods|schesir-schesir-adult-large-chicken-dog-dry-gr-spreadsheet
schesir|adult large pork ham|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,schesir-schesir-adult-large-με-χοιρινο-προσουτο-dog-dry-gr-ods,Schesir Adult Large με Χοιρινό Προσούτο,unknown,,,,,,schesir-schesir-adult-large-με-χοιρινο-προσουτο-dog-dry-gr-ods|schesir-schesir-adult-large-pork-ham-dog-dry-gr-spreadsheet
schesir|adult large maintenance lamb|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,schesir-schesir-adult-large-maintenance-με-αρνι-dog-dry-gr-ods,Schesir Adult Large Maintenance με Αρνί,unknown,,,,,,schesir-schesir-adult-large-maintenance-με-αρνι-dog-dry-gr-ods|schesir-schesir-adult-large-maintenance-lamb-dog-dry-gr-spreadsheet
schesir|fruit adult cat chicken and ανανα|cat|wet,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,schesir-schesir-fruit-adult-cat-με-κοτοπουλο-ανανα-cat-wet-gr-ods,Schesir Fruit Adult Cat με Κοτόπουλο & Ανανά,unknown,,,,,,schesir-schesir-fruit-adult-cat-με-κοτοπουλο-ανανα-cat-wet-gr-ods|schesir-schesir-fruit-adult-cat-chicken-cat-wet-gr-spreadsheet
schesir|fruit adult cat chicken and μηλο|cat|wet,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,schesir-schesir-fruit-adult-cat-με-κοτοπουλο-μηλο-cat-wet-gr-ods,Schesir Fruit Adult Cat με Κοτόπουλο & Μήλο,unknown,,,,,,schesir-schesir-fruit-adult-cat-με-κοτοπουλο-μηλο-cat-wet-gr-ods|schesir-schesir-fruit-adult-cat-chicken-apple-cat-wet-gr-spreadsheet
schesir|fruit adult cat tuna and ανανα|cat|wet,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,schesir-schesir-fruit-adult-cat-με-τονο-ανανα-cat-wet-gr-ods,Schesir Fruit Adult Cat με Τόνο & Ανανά,unknown,,,,,,schesir-schesir-fruit-adult-cat-με-τονο-ανανα-cat-wet-gr-ods|schesir-schesir-fruit-adult-cat-tuna-cat-wet-gr-spreadsheet
schesir|fruit adult dog chicken and ανανα|dog|wet,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,schesir-schesir-fruit-adult-dog-με-κοτοπουλο-ανανα-dog-wet-gr-ods,Schesir Fruit Adult Dog με Κοτόπουλο & Ανανά,unknown,,,,,,schesir-schesir-fruit-adult-dog-με-κοτοπουλο-ανανα-dog-wet-gr-ods|schesir-schesir-fruit-adult-dog-chicken-dog-wet-gr-spreadsheet
schesir|fruit adult dog chicken and μηλο|dog|wet,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,schesir-schesir-fruit-adult-dog-με-κοτοπουλο-μηλο-dog-wet-gr-ods,Schesir Fruit Adult Dog με Κοτόπουλο & Μήλο,unknown,,,,,,schesir-schesir-fruit-adult-dog-με-κοτοπουλο-μηλο-dog-wet-gr-ods|schesir-schesir-fruit-adult-dog-chicken-apple-dog-wet-gr-spreadsheet
schesir|fruit adult dog chicken and παπαγια|dog|wet,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,schesir-schesir-fruit-adult-dog-με-κοτοπουλο-παπαγια-dog-wet-gr-ods,Schesir Fruit Adult Dog με Κοτόπουλο & Παπάγια,unknown,,,,,,schesir-schesir-fruit-adult-dog-με-κοτοπουλο-παπαγια-dog-wet-gr-ods|schesir-schesir-fruit-adult-dog-chicken-papaya-dog-wet-gr-spreadsheet
schesir|kitten tuna and αλοη σε ζελε|cat|wet,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,schesir-schesir-kitten-με-τονο-αλοη-σε-ζελε-cat-wet-gr-ods,Schesir Kitten με Τόνο & Αλόη σε Ζελέ,unknown,,,,,,schesir-schesir-kitten-με-τονο-αλοη-σε-ζελε-cat-wet-gr-ods|schesir-schesir-kitten-tuna-aloe-jelly-cat-wet-gr-spreadsheet
schesir|puppy small chicken and rice|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,schesir-schesir-puppy-small-με-κοτοπουλο-ρυζι-dog-dry-gr-ods,Schesir Puppy Small με Κοτόπουλο & Ρύζι,unknown,,,,,,schesir-schesir-puppy-small-με-κοτοπουλο-ρυζι-dog-dry-gr-ods|schesir-schesir-puppy-small-chicken-rice-dog-dry-gr-spreadsheet
schesir|senior cat chicken|cat|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,schesir-schesir-senior-cat-με-κοτοπουλο-cat-dry-gr-ods,Schesir Senior Cat με Κοτόπουλο,unknown,,,,,,schesir-schesir-senior-cat-με-κοτοπουλο-cat-dry-gr-ods|schesir-schesir-senior-cat-chicken-cat-dry-gr-spreadsheet
schesir|sterilised cat ham|cat|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,schesir-schesir-sterilised-cat-με-προσουτο-cat-dry-gr-ods,Schesir Sterilised Cat με Προσούτο,unknown,,,,,,schesir-schesir-sterilised-cat-με-προσουτο-cat-dry-gr-ods|schesir-schesir-sterilised-cat-ham-cat-dry-gr-spreadsheet
taste of the wild|prey turkey|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,taste-of-the-wild-taste-of-the-wild-prey-turkey-dog-dry-gr-spreadsheet,Taste Of The Wild Prey με Γαλοπούλα,unknown,,,,,,taste-of-the-wild-taste-of-the-wild-prey-turkey-dog-dry-gr-spreadsheet|taste-of-the-wild-taste-of-the-wild-prey-με-γαλοπουλα-dog-dry-gr-spreadsheet
taste of the wild|prey dog beef angus|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,taste-of-the-wild-taste-of-the-wild-prey-dog-beef-angus-dog-dry-gr-spreadsheet,Taste Of The Wild Prey Dog με Μοσχάρι Angus,unknown,,,,,,taste-of-the-wild-taste-of-the-wild-prey-dog-beef-angus-dog-dry-gr-spreadsheet|taste-of-the-wild-taste-of-the-wild-prey-dog-με-μοσχαρι-angus-dog-dry-gr-spreadsheet
taste of the wild|prey dog πεστροφα|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,taste-of-the-wild-taste-of-the-wild-prey-dog-dog-dry-gr-spreadsheet,Taste Of The Wild Prey Dog με Πέστροφα,unknown,,,,,,taste-of-the-wild-taste-of-the-wild-prey-dog-dog-dry-gr-spreadsheet|taste-of-the-wild-taste-of-the-wild-prey-dog-με-πεστροφα-dog-dry-gr-spreadsheet
viozois|be doo adult dog chicken|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,viozois-be-doo-adult-dog-chicken-dog-dry-gr-spreadsheet,Viozois Be Doo Adult Dog με Κοτόπουλο,unknown,,,,,,viozois-be-doo-adult-dog-chicken-dog-dry-gr-spreadsheet|viozois-be-doo-adult-dog-με-κοτοπουλο-dog-dry-gr-spreadsheet
