formula_key,brand,formula_name,species,status,source_url,extracted_fields,missing_fields,notes
hill-s-science-plan-hill-s-science-plan-mature-adult-6-large-with-chicken-dog-dry-eu-retailer,Hill's Science Plan,Hill’s Science Plan Mature Adult 6+ Large with Chicken,dog,candidate,https://www.zooplus.com/shop/dogs/dry_dog_food/hills_science_plan/senior/128161,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|calcium_percent|phosphorus_percent,,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=50.1
eukanuba-german-shepherd-adult-dog-dry-eu-retailer,Eukanuba,German Shepherd Adult,dog,candidate,https://www.zooplus.com/shop/dogs/dry_dog_food/eukanuba/breed_nutrition/128077,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent|calcium_percent|phosphorus_percent,,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=47.7
hill-s-science-plan-hill-s-science-plan-adult-1-6-medium-with-chicken-dog-dry-eu-retailer,Hill's Science Plan,Hill’s Science Plan Adult 1-6 Medium with Chicken,dog,candidate,https://www.zooplus.com/shop/dogs/dry_dog_food/hills_science_plan/adult/128123,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|calcium_percent|phosphorus_percent,,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=47.5
josera-knuspies-dog-dry-eu-official,Josera,KNUSPIES,dog,candidate,https://josera.com/en/product/knuspies,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|calcium_percent|phosphorus_percent|sodium_percent,,market=EU; locale=en; basis=as-fed; source_tier=official; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true
josidog-active-dog-dry-eu-official,JosiDog,ACTIVE,dog,candidate,https://josera.com/en/product/josidog-active,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|calcium_percent|phosphorus_percent|sodium_percent,,market=EU; locale=en; basis=as-fed; source_tier=official; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true
josidog-adult-sensitive-dog-dry-eu-official,JosiDog,ADULT SENSITIVE,dog,candidate,https://josera.com/en/product/josidog-adult-sensitive,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|calcium_percent|phosphorus_percent|sodium_percent,,market=EU; locale=en; basis=as-fed; source_tier=official; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true
josidog-agilo-sport-dog-dry-eu-official,JosiDog,AGILO SPORT,dog,candidate,https://josera.com/en/product/josidog-agilo-sport,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|calcium_percent|phosphorus_percent|sodium_percent,,market=EU; locale=en; basis=as-fed; source_tier=official; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true
josidog-family-dog-dry-eu-official,JosiDog,FAMILY,dog,candidate,https://josera.com/en/product/josidog-family,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|calcium_percent|phosphorus_percent|sodium_percent,,market=EU; locale=en; basis=as-fed; source_tier=official; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true
josidog-junior-dog-dry-eu-official,JosiDog,JUNIOR,dog,candidate,https://josera.com/en/product/josidog-junior,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|calcium_percent|phosphorus_percent|sodium_percent,,market=EU; locale=en; basis=as-fed; source_tier=official; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true
josidog-junior-sensitive-dog-dry-eu-official,JosiDog,JUNIOR SENSITIVE,dog,candidate,https://josera.com/en/product/josidog-junior-sensitive,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|calcium_percent|phosphorus_percent|sodium_percent,,market=EU; locale=en; basis=as-fed; source_tier=official; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true
