canonical_identity_key,rank,score,decision,dataset_file,formula_key,brand,display_name,species,format,source_priority,title_source_priority,missing_blockers,filled_core_fields,filled_mineral_fields,has_kcal,has_source
royal canin|maxi digestive care|dog|dry,2,76.0,candidate,data/imports/gatoskilo_royal_canin_dog_html_batch_v2.csv,royal-canin-maxi-digestive-care-dog-dry-gr-gatoskilo,Royal Canin,Royal Canin Maxi Digestive Care 12kg,dog,dry,retailer,60,,4,0,yes,yes
royal canin|maxi joint care|dog|dry,1,82.0,candidate,data/imports/royal_canin_gr_product_extract_v2.csv,royal-canin-maxi-joint-care-dog-dry-gr-official,Royal Canin,Royal Canin Maxi Joint Care,dog,dry,official,40,,4,0,yes,yes
royal canin|maxi joint care|dog|dry,2,76.0,candidate,data/imports/gatoskilo_royal_canin_dog_html_batch_v2.csv,royal-canin-maxi-joint-care-dog-dry-gr-gatoskilo,Royal Canin,Royal Canin Maxi Joint Care 10kg,dog,dry,retailer,60,,4,0,yes,yes
royal canin|maxi light weight care|dog|dry,1,82.0,candidate,data/imports/royal_canin_gr_product_extract_v2.csv,royal-canin-maxi-light-weight-care-dog-dry-gr-official,Royal Canin,Royal Canin Maxi light Weight Care,dog,dry,official,40,,4,0,yes,yes
royal canin|maxi light weight care|dog|dry,2,80.0,candidate,data/imports/gatoskilo_royal_canin_dog_html_batch_v2.csv,royal-canin-maxi-light-weight-care-dog-dry-gr-gatoskilo,Royal Canin,Royal Canin Maxi Light Weight Care 12kg,dog,dry,retailer,60,,5,0,yes,yes
royal canin|maxi puppy|dog|dry,1,80.0,candidate,data/imports/gatoskilo_royal_canin_dog_html_batch_v2.csv,royal-canin-maxi-puppy-dog-dry-gr-gatoskilo,Royal Canin,Royal Canin Maxi Puppy 3kg,dog,dry,retailer,60,,5,0,yes,yes
royal canin|maxi starter|dog|dry,1,80.0,candidate,data/imports/gatoskilo_royal_canin_dog_html_batch_v2.csv,royal-canin-maxi-starter-dog-dry-gr-gatoskilo,Royal Canin,Royal Canin Maxi Starter 15kg,dog,dry,retailer,60,,5,0,yes,yes
royal canin|maxi sterilised ad|dog|dry,1,80.0,candidate,data/imports/gatoskilo_royal_canin_dog_html_batch_v2.csv,royal-canin-maxi-sterilised-ad-dog-dry-gr-gatoskilo,Royal Canin,Royal Canin Maxi Sterilised AD 12kg,dog,dry,retailer,60,,5,0,yes,yes
royal canin|medium adult|dog|dry,1,80.0,candidate,data/imports/gatoskilo_royal_canin_dog_html_batch_v2.csv,royal-canin-medium-adult-dog-dry-gr-gatoskilo,Royal Canin,Royal Canin Medium Adult 3kg,dog,dry,retailer,60,,5,0,yes,yes
royal canin|medium adult|dog|dry,2,48.0,hold,data/imports/royal_canin_gr_product_extract_v2.csv,royal-canin-medium-adult-dog-dry-gr-official,Royal Canin,Royal Canin MEDIUM ADULT,dog,dry,official,40,fat_percent|fiber_percent,3,0,yes,yes
royal canin|medium adult|dog|dry,3,14.5,hold,data/imports/royal_canin_dog_photo_batch_v2.csv,royal-canin-medium-adult-dog-dry-gr-photo,Royal Canin,Royal Canin Medium Adult,dog,dry,manual_photo,5,ingredient_text|protein_percent|fat_percent|fiber_percent|kcal_per_100g_or_kcal_per_kg,0,0,no,yes
royal canin|medium adult 7 plus|dog|dry,1,80.0,candidate,data/imports/gatoskilo_royal_canin_dog_html_batch_v2.csv,royal-canin-medium-adult-7-dog-dry-gr-gatoskilo,Royal Canin,Royal Canin Medium Adult 7+ 4kg,dog,dry,retailer,60,,5,0,yes,yes
royal canin|medium adult 7 plus|dog|dry,2,48.0,hold,data/imports/royal_canin_gr_product_extract_v2.csv,royal-canin-medium-adult-7-dog-dry-gr-official,Royal Canin,Royal Canin MEDIUM ADULT 7+,dog,dry,official,40,fat_percent|fiber_percent,3,0,yes,yes
royal canin|medium ageing 10 plus|dog|dry,1,80.0,candidate,data/imports/gatoskilo_royal_canin_dog_html_batch_v2.csv,royal-canin-medium-ageing-10-dog-dry-gr-gatoskilo,Royal Canin,Royal Canin Medium Ageing 10+ 3kg,dog,dry,retailer,60,,5,0,yes,yes
royal canin|medium ageing 10 plus|dog|dry,2,48.0,hold,data/imports/royal_canin_gr_product_extract_v2.csv,royal-canin-medium-ageing-10-dog-dry-gr-official,Royal Canin,Royal Canin MEDIUM AGEING 10+,dog,dry,official,40,fat_percent|fiber_percent,3,0,yes,yes
royal canin|medium dermacomfort|dog|dry,1,82.0,candidate,data/imports/royal_canin_gr_product_extract_v2.csv,royal-canin-medium-dermacomfort-dog-dry-gr-official,Royal Canin,Royal Canin Medium Dermacomfort,dog,dry,official,40,,4,0,yes,yes
royal canin|medium dermacomfort|dog|dry,2,76.0,candidate,data/imports/gatoskilo_royal_canin_dog_html_batch_v2.csv,royal-canin-medium-dermacomfort-dog-dry-gr-gatoskilo,Royal Canin,Royal Canin Medium Dermacomfort 3kg,dog,dry,retailer,60,,4,0,yes,yes
royal canin|medium digestive care|dog|dry,1,86.0,candidate,data/imports/royal_canin_gr_product_extract_v2.csv,royal-canin-medium-digestive-care-dog-dry-gr-official,Royal Canin,Royal Canin Medium Digestive Care,dog,dry,official,40,,5,0,yes,yes
royal canin|medium digestive care|dog|dry,2,80.0,candidate,data/imports/gatoskilo_royal_canin_dog_html_batch_v2.csv,royal-canin-medium-digestive-care-dog-dry-gr-gatoskilo,Royal Canin,Royal Canin Medium Digestive Care 12kg,dog,dry,retailer,60,,5,0,yes,yes
royal canin|medium light weight care|dog|dry,1,82.0,candidate,data/imports/royal_canin_gr_product_extract_v2.csv,royal-canin-medium-light-weight-care-dog-dry-gr-official,Royal Canin,Royal Canin Medium Light Weight Care,dog,dry,official,40,,4,0,yes,yes
