priority,issue_type,brand,name,species,market,data_quality_status,field,current_value,recommended_action,data_source_url
medium,missing_photo_queue,Virbac,Veterinary HPM Adult Entire Large & Medium,dog,UK,queued,missing_fields,"[""magnesium_percent""]",Official page lacks magnesium percentage; backfill from label photo or stronger official sheet.,https://uk.virbac.com/products/petfood/adult-neutered-dog-food-large
medium,missing_photo_queue,Virbac,Veterinary HPM Puppy Large & Medium,dog,UK,queued,missing_fields,"[""magnesium_percent""]",Official page lacks magnesium percentage; backfill from label photo or stronger official sheet.,https://checkout.uk.virbac.com/products/puppy-large-medium-dry-puppy-food-for-medium-large-breeds
medium,missing_photo_queue,Virbac,Veterinary HPM Adult Sensitive Neutered Large & Medium,dog,UK,queued,missing_fields,"[""magnesium_percent""]",Official page lacks magnesium percentage; backfill from label photo or stronger official sheet.,https://uk.virbac.com/products/adult-sensitive-neutered-dog-food-for-medium-large-breeds
medium,missing_photo_queue,Virbac,Veterinary HPM Senior Entire Large & Medium,dog,UK,queued,missing_fields,"[""magnesium_percent""]",Official page lacks magnesium percentage; backfill from label photo or stronger official sheet.,https://uk.virbac.com/products/senior-entire-dry-dog-food-for-medium-large-breeds
medium,missing_photo_queue,Virbac,Veterinary HPM Adult Neutered Large & Medium,dog,UK,queued,missing_fields,"[""magnesium_percent""]",Official page lacks magnesium percentage; backfill from label photo or stronger official sheet.,https://uk.virbac.com/products/adult-neutered-large-medium-dog-food-for-medium-large-breeds?category=94
medium,missing_photo_queue,Virbac,Veterinary HPM Junior Medium,dog,UK,queued,missing_fields,"[""magnesium_percent""]",Official page lacks magnesium percentage; backfill from label photo or stronger official sheet.,https://store.uk.virbac.com/dog-junior-medium-breed-diet
high,missing_photo_queue,Royal Canin,Mini Adult,dog,UK,queued,missing_fields,"[""calcium_percent"",""phosphorus_percent"",""sodium_percent"",""magnesium_percent""]",Official page lacks calcium phosphorus sodium and magnesium percentages; backfill from label photo or stronger official sheet.,https://www.royalcanin.com/uk/dogs/products/retail-products/mini-adult-3001
high,missing_photo_queue,Royal Canin,Maxi Adult 5+,dog,UK,queued,missing_fields,"[""kcal_per_100g"",""calcium_percent"",""phosphorus_percent"",""sodium_percent"",""magnesium_percent""]",Official page lacks calories and target mineral percentages; backfill from label photo or stronger official sheet.,https://www.royalcanin.com/uk/dogs/products/retail-products/maxi-adult-5%2B-3008
high,missing_photo_queue,Royal Canin,Mini Digestive Care,dog,UK,queued,missing_fields,"[""kcal_per_100g"",""calcium_percent"",""phosphorus_percent"",""sodium_percent"",""magnesium_percent""]",Official page lacks calories and target mineral percentages; backfill from label photo or stronger official sheet.,https://www.royalcanin.com/uk/dogs/products/retail-products/digestive-care-mini-2447
medium,missing_photo_queue,Ambrosia,Beef & Fresh Salmon,dog,GR,queued,missing_fields,"[""sodium_percent"",""magnesium_percent""]",Official Ambrosia GR page lacks sodium and magnesium percentages; backfill from label photo or official sheet.,https://ambrosiapetfood.com/el/products/beef-fresh-salmon/
medium,missing_photo_queue,Ambrosia,Chicken & Fresh Fish,dog,GR,queued,missing_fields,"[""sodium_percent"",""magnesium_percent""]",Official Ambrosia GR page lacks sodium and magnesium percentages; backfill from label photo or official sheet.,https://ambrosiapetfood.com/el/products/chicken-fresh-fish/
medium,missing_photo_queue,Ambrosia,Chicken & Fresh Salmon,dog,GR,queued,missing_fields,"[""sodium_percent"",""magnesium_percent""]",Official Ambrosia GR page lacks sodium and magnesium percentages; backfill from label photo or official sheet.,https://ambrosiapetfood.com/el/products/chicken-fresh-salmon/
medium,missing_photo_queue,Ambrosia,Chicken & Veggies,dog,GR,queued,missing_fields,"[""sodium_percent"",""magnesium_percent""]",Official Ambrosia GR page lacks sodium and magnesium percentages; backfill from label photo or official sheet.,https://ambrosiapetfood.com/el/products/chicken-veggies/
medium,missing_photo_queue,Ambrosia,Fresh Duck,dog,GR,queued,missing_fields,"[""sodium_percent"",""magnesium_percent""]",Official Ambrosia GR page lacks sodium and magnesium percentages; backfill from label photo or official sheet.,https://ambrosiapetfood.com/el/products/fresh-duck/
medium,missing_photo_queue,Ambrosia,Fresh Lamb,dog,GR,queued,missing_fields,"[""sodium_percent"",""magnesium_percent""]",Official Ambrosia GR page lacks sodium and magnesium percentages; backfill from label photo or official sheet.,https://ambrosiapetfood.com/el/products/fresh-lamb/
medium,missing_photo_queue,Ambrosia,Fresh Salmon & Chicken,dog,GR,queued,missing_fields,"[""sodium_percent"",""magnesium_percent""]",Official Ambrosia GR page lacks sodium and magnesium percentages; backfill from label photo or official sheet.,https://ambrosiapetfood.com/el/products/fresh-salmon-chicken/
medium,missing_photo_queue,Ambrosia,Fresh Salmon & Rabbit,dog,GR,queued,missing_fields,"[""sodium_percent"",""magnesium_percent""]",Official Ambrosia GR page lacks sodium and magnesium percentages; backfill from label photo or official sheet.,https://ambrosiapetfood.com/el/products/fresh-salmon-rabbit/
medium,missing_photo_queue,Ambrosia,Fresh Salmon & Turkey,dog,GR,queued,missing_fields,"[""sodium_percent"",""magnesium_percent""]",Official Ambrosia GR page lacks sodium and magnesium percentages; backfill from label photo or official sheet.,https://ambrosiapetfood.com/el/products/fresh-salmon-turkey/
medium,missing_photo_queue,Ambrosia,Fresh Sardine & Cod,dog,GR,queued,missing_fields,"[""sodium_percent"",""magnesium_percent""]",Official Ambrosia GR page lacks sodium and magnesium percentages; backfill from label photo or official sheet.,https://ambrosiapetfood.com/el/products/fresh-sardine-cod/
medium,missing_photo_queue,Ambrosia,Fresh Sardine & Tuna,dog,GR,queued,missing_fields,"[""sodium_percent"",""magnesium_percent""]",Official Ambrosia GR page lacks sodium and magnesium percentages; backfill from label photo or official sheet.,https://ambrosiapetfood.com/el/products/fresh-sardine-tuna/
medium,missing_photo_queue,Ambrosia,Fresh Turkey & Chicken,dog,GR,queued,missing_fields,"[""sodium_percent"",""magnesium_percent""]",Official Ambrosia GR page lacks sodium and magnesium percentages; backfill from label photo or official sheet.,https://ambrosiapetfood.com/el/products/fresh-turkey-chicken/
medium,missing_photo_queue,Ambrosia,Fresh Turkey & Duck,dog,GR,queued,missing_fields,"[""sodium_percent"",""magnesium_percent""]",Official Ambrosia GR page lacks sodium and magnesium percentages; backfill from label photo or official sheet.,https://ambrosiapetfood.com/el/products/fresh-turkey-duck/
medium,missing_photo_queue,Ambrosia,Fresh Turkey & Rabbit,dog,GR,queued,missing_fields,"[""sodium_percent"",""magnesium_percent""]",Official Ambrosia GR page lacks sodium and magnesium percentages; backfill from label photo or official sheet.,https://ambrosiapetfood.com/el/products/fresh-turkey-rabbit/
medium,missing_photo_queue,Ambrosia,Fresh Turkey & Salmon,dog,GR,queued,missing_fields,"[""sodium_percent"",""magnesium_percent""]",Official Ambrosia GR page lacks sodium and magnesium percentages; backfill from label photo or official sheet.,https://ambrosiapetfood.com/el/products/fresh-turkey-salmon/
medium,missing_photo_queue,Ambrosia,Fresh Turkey,dog,GR,queued,missing_fields,"[""sodium_percent"",""magnesium_percent""]",Official Ambrosia GR page lacks sodium and magnesium percentages; backfill from label photo or official sheet.,https://ambrosiapetfood.com/el/products/fresh-turkey/
medium,missing_photo_queue,Ambrosia,Fresh Venison & Lamb,dog,GR,queued,missing_fields,"[""sodium_percent"",""magnesium_percent""]",Official Ambrosia GR page lacks sodium and magnesium percentages; backfill from label photo or official sheet.,https://ambrosiapetfood.com/el/products/fresh-venison-lamb/
medium,missing_photo_queue,Ambrosia,Lamb & Fresh Salmon,dog,GR,queued,missing_fields,"[""sodium_percent"",""magnesium_percent""]",Official Ambrosia GR page lacks sodium and magnesium percentages; backfill from label photo or official sheet.,https://ambrosiapetfood.com/el/products/lamb-fresh-salmon/
